title,url,price,location,year,mileage
Hyundai Tucson Hybrid 1.6T 239HP 2WD 6AT PREMIUM + HYBRID PAKET,https://www.njuskalo.hr/auti/hyundai-tucson-hybrid-1.6t-239hp-2wd-6at-premium-hybrid-paket-oglas-51052809,34.600 €,"Velika Gorica - Okolica, Staro Čiće",2026,
Hyundai Tucson 2.0 BENZIN-PLIN,https://www.njuskalo.hr/auti/hyundai-tucson-2.0-benzin-plin-oglas-51052383,4.900 €,"Pula, Centar",2007,278.000 km
"Hyundai Tucson 1,6T LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-leasing-bez-ucesca-bez-jamaca-oglas-51052203,24.999 €,"Peščenica - Žitnjak, Peščenica",2022,85.826 km
"Hyundai Tucson 2,0 GLS",https://www.njuskalo.hr/auti/hyundai-tucson-2.0-gls-oglas-51052126,6.000 €,"Virovitica, Suvara",2007,185.802 km
"Hyundai Tucson 1,6 CRDi automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50943387,19.900 €,"Sisak, Zeleni brijeg",2023,153.000 km
Hyundai Tucson Xpossible ISG 1.7 CRDi 85kw 2018g KAMERA  PANORAMA⭐⭐⭐⭐⭐,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-49585400,17.950 €,"Novi Marof, Možđenec",2018,119.000 km
Hyundai Tucson 1.6 TGDI Automatik,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-tgdi-automatik-oglas-50881924,23.400 €,"Čakovec, Jug",2023,98.000 km
"Hyundai Tucson 1,6T 51TKM,SERV.,NAVI.,LED,ALU.,PDC,KAM.,VIRT.,TREND",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-51tkm-serv-navi-led-alu-pdc-kam-virt-trend-oglas-51045430,21.990 €,"Osijek, Gornji grad / Centar",2022,51.000 km
HYUNDAI TUCSON 1.7 CRDi NAVIGACIJA/KAMERA/LANE ASSIST/REGISTRIRAN,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-43651350,14.900 €,"Ivanec, Ivanec",2017,149.000 km
Hyundai Tucson 1.7 CRDi Automatik Pano Navi / Jamstvo,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-automatik-pano-navi-jamstvo-oglas-51043213,19.450 €,"Podstrana, Strožanac",2018,59.000 km
